category,question,expected_url,lang,year,doc_type,page_title,note
temporal,,https://pressroom.unitn.it/comunicati-stampa/2025-12?page=1,it,2025,news,Comunicati Stampa | UniTrento Press Room,an outdated sibling exists; the current one must win
temporal,,https://webmagazine.unitn.it/en/calendario/giurisprudenza/year/2025,en,2025,news,Calendario Giurisprudenza | UniTrento | UniTrento,an outdated sibling exists; the current one must win
temporal,,https://disi.unitn.it/rseba/DIDATTICA/fm2024/SLIDES/09-TimedHybridMC_slides.pdf,en,2024,pdf,09-TimedHybridMC_slides.pdf,an outdated sibling exists; the current one must win
temporal,,https://disi.unitn.it/rseba/DIDATTICA/fm2024/EXAMPLE-TESTS/,,2024,page,Index of /rseba/DIDATTICA/fm2024/EXAMPLE-TESTS,an outdated sibling exists; the current one must win
temporal,,https://disi.unitn.it/rseba/DIDATTICA/fai_2025/SLIDES/HANDOUTS-08-FOL.pdf,en,2025,pdf,HANDOUTS-08-FOL.pdf,an outdated sibling exists; the current one must win
admissions,,https://corsi.unitn.it/en/international-management/enrollment/admission-non-europeans,en,2026,admissions,Admission and enrollment for non-Europeans | Sito Corsi | UniTrento,
admissions,,https://webapps.unitn.it/Apply/it/Web/Home/altro,it,2026,admissions,Altro,
admissions,,https://corsi.unitn.it/en/agrifood-innovation-management/enrollment/admission-europeans-and-equivalents,en,2026,admissions,Admission and enrollment for Europeans and equivalents | Sito Corsi | UniTrento,
admissions,,https://www.unitn.it/it/studiare/iscriversi/guida-alle-iscrizioni/iscrizione-annuale-e-rinnovo,it,2026,admissions,Iscrizione annuale e rinnovo | UniTrento,
admissions,,https://www.unitn.it/it/studiare/iscriversi/altre-iscrizioni-e-opportunita-di-formazione/corsi-singoli,it,2026,admissions,Corsi singoli | UniTrento,
admissions,,https://iecs.unitn.it/education/admission/past-calls/project_specific_grants-2014,en,2014,admissions,Project Specific Grants / Reserved topic scholarships 2014 | Doctoral Program - Informatio,
admissions,,https://corsi.unitn.it/en/innovation-management/enrollment/admission-europeans-and-equivalents,en,2026,admissions,Admission and enrollment for Europeans and equivalents | Sito Corsi | UniTrento,
admissions,,https://corsi.unitn.it/en/international-management/enrollment/admission-europeans-and-equivalents,en,2026,admissions,Admission and enrollment for Europeans and equivalents | Sito Corsi | UniTrento,
admissions,,https://corsi.unitn.it/en/information-engineering/enrollment/admission-non-europeans,en,2026,admissions,Admission and enrollment for non-Europeans | Sito Corsi | UniTrento,
admissions,,https://corsi.unitn.it/it/filologia-e-critica-letteraria/iscriversi/ammissione-e-immatricolazione,it,2026,admissions,Ammissione e immatricolazione | Filologia e critica letteraria | UniTrento,
admissions,,https://iecs.unitn.it/education/admission/past-calls/reserved-topic-scholarships-2024-2,en,2024,admissions,Reserved topic scholarships - 2024 - 2nd call | Doctoral Program - Information Engineering,
admissions,,https://www.unitn.it/it/studiare/iscriversi/guida-alle-ammissioni/master-universitario,it,2026,admissions,Ammissione a un master universitario | UniTrento,
course,,https://corsi.unitn.it/en/computer-science-bachelor,en,2026,course,Computer Science | UniTrento,
course,,https://corsi.unitn.it/it/scienze-motorie-sport-e-benessere/studiare/competenze-linguistiche,it,2026,course,"Competenze linguistiche | Scienze motorie, sport e benessere | UniTrento",
course,,https://corsi.unitn.it/it/mechatronics-engineering/il-corso/scheda-del-corso,it,2026,course,Scheda del corso | Mechatronics Engineering | UniTrento,
course,,https://corsi.unitn.it/it/ingegneria-informatica-delle-comunicazioni-ed-elettronica/il-corso/scheda-del-corso,it,2026,course,"Scheda del corso | Ingegneria Informatica, delle Comunicazioni ed Elettronica | UniTrento",
course,,https://corsi.unitn.it/it/medicina-e-chirurgia/studiare/lezioni-programmi-esami-medicina-e-chirurgia,it,2026,course,"Lezioni, programmi, esami Medicina e chirugia | Medicina e chirurgia | UniTrento",
course,,https://corsi.unitn.it/en/agrifood-innovation-management/graduation/graduation-calendar,en,2026,course,Graduation calendar and deadlines | Sito Corsi | UniTrento,
course,,https://corsi.unitn.it/it/filologia-e-critica-letteraria/il-corso/scheda-del-corso,it,2026,course,Scheda del corso | Filologia e critica letteraria | UniTrento,
course,,https://corsi.unitn.it/it/educazione-professionale/laurearsi/esame-di-laurea,it,2026,course,Esame di laurea | Educazione professionale | UniTrento,
course,,https://corsi.unitn.it/it/viticoltura-ed-enologia/il-corso/scheda-del-corso,it,2026,course,Scheda del corso | Viticoltura ed enologia | UniTrento,
course,,https://corsi.unitn.it/it/agrifood-innovation-management,it,2026,course,Agrifood Innovation Management | UniTrento,
course,,https://corsi.unitn.it/en/behavioural-and-applied-economics,en,2026,course,Behavioural and Applied Economics | UniTrento,
course,,https://corsi.unitn.it/it/energy-engineering/studiare/manifesti-e-documenti,it,2026,course,Manifesti e documenti | Energy Engineering | UniTrento,
scholarship,,https://borse.unitn.it/borse/dipartimento-cibio-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-laurea-decreto-n-11542025,it,2026,scholarship,Dipartimento CIBIO - Avviso di selezione per il conferimento di n. 1 borsa di studio per a,
scholarship,,https://borse.unitn.it/assegni-di-tutorato/disi-dipartimento-di-ingegneria-e-scienza-dellinformazione-avviso-di-selezione-lattribuzione-di-assegni-di-tutorato-aa-202627-2,it,2026,scholarship,DISI - Dipartimento di Ingegneria e Scienza dell'Informazione - Avviso di selezione per l',
scholarship,,https://borse.unitn.it/en/borse/department-cibio-call-selections-awarding-no-1-study-grant-doctoral-students-not-entitled-doctoral-grant-and-enrolled-doctoral-programme,en,2026,scholarship,Department of CIBIO - Call for the selections for the awarding of no. 1 study grant for do,
scholarship,,https://www.physics.unitn.it/premi/bando-di-selezione-lassegnazione-di-n-2-premi-laureatilaureate-di-corsi-di-laurea-magistralemagistrale-ciclo-unico-presso-luniversita-di-trento,it,2026,scholarship,Import singola borsa | Dipartimento di Fisica,
scholarship,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-industriale-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-laurea-decreto-n-13,it,2026,scholarship,Dipartimento di Ingegneria Industriale - Avviso di selezione per il conferimento di n. 1 b,
scholarship,,https://borse.unitn.it/en/scolarships?page=17,en,2026,scholarship,Other scholarships and grants | Borse Premi UniTrento,
scholarship,,https://borse.unitn.it/borse/school-innovation-avviso-di-selezione-pubblica-il-conferimento-di-n-1-borsa-di-studio-la,it,2026,scholarship,School of Innovation: avviso di selezione pubblica per il conferimento di n. 1 borsa di st,
scholarship,,https://borse.unitn.it/premi/premio-di-laurea-studi-sulleuropa-intitolato-helen-joanne-jo-cox,it,2026,scholarship,"Premio di laurea per studi sull'Europa intitolato a Helen Joanne ""Jo” Cox | Borse Premi Un",
scholarship,,https://www.cogsci.unitn.it/en/borse/dipsco-dipartimento-di-psicologia-e-scienze-cognitive-avviso-di-selezione-il-conferimento-0,en,2026,scholarship,Import singola borsa | Dipartimento di Psicologia e Scienze Congnitive,
scholarship,,https://mag.unitn.it/premi-e-riconoscimenti/121567/la-buona-pratica-di-hydrovjosa,it,2026,scholarship,La buona pratica di HydroVjosa | UniTrentoMag,
scholarship,,https://mag.unitn.it/premi-e-riconoscimenti/121072/a-chiara-lago-libidi-paper-award,it,2026,scholarship,A Chiara Lago l'Ibidi Paper Award | UniTrentoMag,
scholarship,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-civile-ambientale-e-meccanica-avviso-di-selezione-il-1,it,2026,scholarship,"Dipartimento di Ingegneria Civile, Ambientale e Meccanica - Avviso di selezione per il con",
trap,,https://webapps.unitn.it/du/it/StrutturaAccademica/STO0014882/Persone,it,2026,people,Corso di Dottorato (D.M.226/2021) - Management | Persone | Università di Trento,term collides with a different concept; a confident wrong answer is the risk
trap,,https://www.disi.unitn.it/master-student,en,2026,page,Master's degrees | Department of information engineering and computer science,term collides with a different concept; a confident wrong answer is the risk
trap,,https://mag.unitn.it/ricerca/3062/dottorato-europeo-dal-brain-drain-al-brain-exchange,it,2026,research,DOTTORATO EUROPEO: DAL BRAIN-DRAIN AL BRAIN-EXCHANGE | UniTrentoMag,term collides with a different concept; a confident wrong answer is the risk
trap,,https://master-m3.unitn.it/2027-laboratory-on-additive-manufacturing-of-metamaterials/,en,2027,page,Laboratory on Additive Manufacturing of Metamaterials (LAM) – MASTER-M3,term collides with a different concept; a confident wrong answer is the risk
trap,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-e-scienza-dellinformazione-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-3,it,2026,scholarship,Dipartimento di Ingegneria e Scienza dell’Informazione - Avviso di selezione per il confer,term collides with a different concept; a confident wrong answer is the risk
trap,,https://borse.unitn.it/system/files/allegati/652/Graduatoria_borsa_Medispa.pdf,it,2025,pdf,Graduatoria_borsa_Medispa.pdf,term collides with a different concept; a confident wrong answer is the risk
trap,,https://www.unitn.it/sites/default/files/2026-07/master_GeDIE%202026-27_attivit%C3%A0-didattiche-VI-ed.pdf,it,2026,pdf,master_GeDIE 2026-27_attivit%C3%A0-didattiche-VI-ed.pdf,term collides with a different concept; a confident wrong answer is the risk
trap,,https://master-m3.unitn.it/news/prof-nader-engheta-talks-about-us/,zh,2026,news,Prof. Nader ENGHETA Talks about Us! – MASTER-M3,term collides with a different concept; a confident wrong answer is the risk
trap,,https://master-m3.unitn.it/news/european-association-on-antennas-and-propagation-euraap-talks-about-us/,zh,2026,news,European Association on Antennas and Propagation (EurAAP) Talks about Us! – MASTER-M3,term collides with a different concept; a confident wrong answer is the risk
trap,,https://borse.unitn.it/system/files/allegati/add/2_decr_48_all_bando_borsa_9_mesi_rtaa.pdf,en,2023,pdf,2_decr_48_all_bando_borsa_9_mesi_rtaa.pdf,term collides with a different concept; a confident wrong answer is the risk
trap,,https://alumni.unitn.it/bando/2476,it,2026,page,Premio per una tesi di laurea magistrale in Scienze Storiche (Corso di laurea interateneo ,term collides with a different concept; a confident wrong answer is the risk
trap,,https://master-m3.unitn.it/news/standard-courses-list-dii/,zh,2026,news,Standard Courses List (DII) – MASTER-M3,term collides with a different concept; a confident wrong answer is the risk
