harvested_question,rewrite_as_a_student_would_ask,expected_url,lang,page_title,keep
What if I have not yet received my bachelor’s degree when it is time to submit a transcript?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
How long will it take to fill out the application?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
How much is the application fee?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
How do I pay my application fee?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
Are there any admission application fee waivers?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
What do I send to the academic department?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
online application?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
What is UC's college code (for the GRE)?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
How do I check my application status?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
do I send recommendation requests?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
"I submitted transcripts to Graduate Admissions, how can I check if they have been received?",,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
"I have submitted my application, when can I expect to obtain an admission decision?",,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
What happens after I am accepted to a program?,,https://www.unitn.it/sites/default/files/2024-10/DL_CEAS_FAQ.pdf,en,DL_CEAS_FAQ.pdf,
Come funziona la partecipazione alle ricerche di BabyLab?,,https://r1.unitn.it/babylab/approfondimenti/approfondimenti/faq2/,it,FAQ,
L’iscrizione al database prevede la partecipazione obbligatoria alle ricerche?,,https://r1.unitn.it/babylab/approfondimenti/approfondimenti/faq2/,it,FAQ,
Devono essere presenti entrambi i genitori all’esperimento?,,https://r1.unitn.it/babylab/approfondimenti/approfondimenti/faq2/,it,FAQ,
Possono venire anche gli altri miei figli?,,https://r1.unitn.it/babylab/approfondimenti/approfondimenti/faq2/,it,FAQ,
Quali metodi impiega il laboratorio per studiare il comportamento dei bambini? Sono sicuri?,,https://r1.unitn.it/babylab/approfondimenti/approfondimenti/faq2/,it,FAQ,
Mio figlio rimarrà da solo?,,https://r1.unitn.it/babylab/approfondimenti/approfondimenti/faq2/,it,FAQ,
Potrò conoscere i risultati degli esperimenti?,,https://r1.unitn.it/babylab/approfondimenti/approfondimenti/faq2/,it,FAQ,
Does registering in the database mean I am required to participate in the research?,,https://r1.unitn.it/babylab/en/approfondimenti/approfondimenti/faq2/,en,FAQ,
Do both parents need to be present for the study?,,https://r1.unitn.it/babylab/en/approfondimenti/approfondimenti/faq2/,en,FAQ,
Can I bring my other children as well?,,https://r1.unitn.it/babylab/en/approfondimenti/approfondimenti/faq2/,en,FAQ,
What methods does the lab use to study children's behavior? Are they safe?,,https://r1.unitn.it/babylab/en/approfondimenti/approfondimenti/faq2/,en,FAQ,
Will my child be left alone?,,https://r1.unitn.it/babylab/en/approfondimenti/approfondimenti/faq2/,en,FAQ,
Will I be able to know the results of the studies?,,https://r1.unitn.it/babylab/en/approfondimenti/approfondimenti/faq2/,en,FAQ,
Cos’è la classe di laurea?,,https://orienta.unitn.it/come-scegliere/375/faq-frequently-asked-questions,it,F.A.Q. Frequently Asked Questions | orienta,
Cosa sono i crediti/CFU?,,https://orienta.unitn.it/come-scegliere/375/faq-frequently-asked-questions,it,F.A.Q. Frequently Asked Questions | orienta,
Come funzionano i voti degli esami?,,https://orienta.unitn.it/come-scegliere/375/faq-frequently-asked-questions,it,F.A.Q. Frequently Asked Questions | orienta,
Cos’è un piano di studi?,,https://orienta.unitn.it/come-scegliere/375/faq-frequently-asked-questions,it,F.A.Q. Frequently Asked Questions | orienta,
Com’è strutturato l’anno accademico?,,https://orienta.unitn.it/come-scegliere/375/faq-frequently-asked-questions,it,F.A.Q. Frequently Asked Questions | orienta,
• I have already participated in an Erasmus mobility program. Can I apply again?,,https://www.unitn.it/sites/default/files/2026-07/FAQ_Traineeship_Abroad.pdf,en,FAQ_Traineeship_Abroad.pdf,
1. E’ obbligatorio iscriversi agli incontri formativi SuXr?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
2. E’ possibile entrare alla lezione anche se si è in ritardo?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
3. L’incontro viene registrato? Posso seguire l’incontro in modalità asincrona?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
Dipartimento/Centro/Scuola di UniTrento?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
non studenti?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
1. La partecipazione al Progetto prevede l’ottenimento di crediti?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
2. Quando vengono riconosciuti i crediti?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
"inserire nel mio piano carriera, come mai?",,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
4. A cosa serve l’Open badge?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
svolgere la mia attività di volontariato?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
devo svolgere la mia attività di volontariato?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
necessariamente essere in presenza?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
SuXr e comunque vedermi riconosciuti i CFU?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
volontariato diverse?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
In che lingua si tiene il ciclo di incontri? É prevista una traduzione?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
con disabilità?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
Posso ottenere una borsa di studio o una copertura delle spese?,,https://www.unitn.it/sites/default/files/2024-12/SuXr%202023_FAQ_nov2023.pdf,it,SuXr 2023_FAQ_nov2023.pdf,
punto nel form già predefinito con la richiesta di contributo economico?,,https://www.unitn.it/sites/default/files/2025-04/FAQ%20BANDO%202%20-%20TEST%20INTERLABORATORIO.pdf,it,FAQ BANDO 2 - TEST INTERLABORATORIO.pdf,
rappresentante che può impegnare l’ente?,,https://www.unitn.it/sites/default/files/2025-04/FAQ%20BANDO%202%20-%20TEST%20INTERLABORATORIO.pdf,it,FAQ BANDO 2 - TEST INTERLABORATORIO.pdf,
le lingue per candidarmi?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
"valido, dove posso verificare?",,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
Dove verrà pubblicata la graduatoria?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
Entro quando?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
voglio svolgere la mobilità?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
fare un solo semestre?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
mobilità durerà 6 mesi esatti?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
scegliere nelle università estere?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
e contrario?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
come faccio per lezioni/esami?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
mobilità per un altro semestre?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
l’assegnazione della destinazione?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
sono disponibili?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
che mi è stata assegnata?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6401d5a4-28d0-4926-b874-27089fafdb78/FAQ%20Erasmus.pdf,it,FAQ Erasmus.pdf,
D: Quali sono i requisiti per poter iniziare il tirocinio?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
D: Quali sono i tipi di tirocinio che posso svolgere?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
D: Quanto dura il tirocinio?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
D: Le 20 ore settimanali sono medie o minime?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
"festività non riesco a raggiungere le 20 ore medie settimanali, cosa devo fare?",,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
D: Quali sono i criteri vincolanti per la validità del tirocinio?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
D: Che procedura si segue per l'individuazione del tutor universitario?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
D: Chi può richiedere il punto aggiuntivo al voto di laurea e secondo quali termini?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
D: Qual è la procedura per la verbalizzazione?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
tirocinio attivato con Job Guidance: è possibile?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
perché non vedo il tirocinio nella mia carriera?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/263df04e-fd59-452a-bdf0-4efd59452a8d/FAQ%20tirocinio.pdf,it,FAQ tirocinio.pdf,
/semester/first or second year)?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
Should it be a part-time or a full time internship?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
Department/University find it for me?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
activation of the internship?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
What am I supposed to do at the conclusion of my internship?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
Am I supposed to write a report and/or take an exam?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
Am I supposed to write my thesis about the internship?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
What is the link between internship and Master thesis?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
Are there any financing opportunities for the internship?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
In which language is carried out the internship?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
private company?,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/e512ad67-9764-4853-914b-49acbf590203/FAQ%20Internship.pdf,en,FAQ Internship.pdf,
t i p o l o g i e ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
C o m e p o s s o t r o v a r e u n t i r o c i n i o ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
t i r o c i n i o c u r r i c u l a r e ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
c o s a d e v o f a r e ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
d e v o f a r e ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
t i r o c i n i o a l l ' e s t e r o ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
t i r o c i n i o i n I t a l i a ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
u n i v e r s i t a r i o / u n i v e r s i t a r i a ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
t i r o c i n i o ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
c o n v e n z i o n e d i t i r o c i n i o c o n u n ' a z i e n d a ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
c r e d e n z i a l i p e r a c c e d e r e a E s s e 3 ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
Q u a n d o p o s s o c o m i n c i a r e i l t i r o c i n i o ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
l a u r e a ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
i n I t a l i a ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
D o v e t r o v o l a C e r t i f i c a z i o n e p a r t e 1 ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
"s o s p e n s i o n i , i n t e r r u z i o n i , c o n t e n u t i e c c . ) ?",,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
s i c u r e z z a ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
C o s a d e v o f a r e i n c a s o d i i n f o r t u n i o ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
( s t u d e n t i / e s s e ) ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
f i n a l e ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
l i n k a l l a S c h e d a d i v a l u t a z i o n e ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
c h i u s u r a ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
D o v e t r o v o l a C e r t i f i c a z i o n e p a r t e 2 ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
d e i C F U a l i b r e t t o ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
"p o s t - l a u r e a , c o s a d e v o f a r e ( l a u r e a t i / e ) ?",,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
a t t i v a z i o n e o c o n c l u s i o n e d e l t u o t i r o c i n i o ?,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f029a4f8-4722-4c91-a9a4-f84722cc916f/FAQ%20tirocini.pdf,,FAQ tirocini.pdf,
linguistico per entrambe?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
per la partecipazione al bando Erasmus?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
successivamente alla scadenza del bando?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
linguistico per i bandi di mobilità?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
candidatura?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
➢ Come faccio a trovare dei corsi che vanno bene per il mio piano di studio?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
➢ Come faccio a sapere se i crediti all’università ospitante sono uguali ai nostri?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
➢ Quanti corsi devo seguire all’estero?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
➢ Se vengo selezionato/a il piano di studio che ho proposto nella candidatura è da considerarsi definitivo?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
➢ Al rientro i professori possono decidere di non riconoscere gli esami sostenuti all’estero?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
solo semestre?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
➢ Se la mia borsa è semestrale è possibile prolungare di un semestre?,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
"➢ Se un corso a Trento pesa 12 CFU, posso dare 6 crediti all’estero e 6 crediti a Trento?",,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/7e55deb6-0bf7-4243-95de-b60bf70243bf/FAQ%20Erasmus_AB_26-27.pdf,it,FAQ Erasmus_AB_26-27.pdf,
